Data Analyst,Data Engineer,Data Scientist,Machine Learning Engineer,Product/Project Manager,Research Scientist,Software Engineer,Statistician
0.04,0.05,0.21,0.33,0.06,0.08,0.21,0.02
0.0,0.05,0.05,0.23,0.58,0.03,0.06,0.0
0.2347138465476159,0.02325608631269246,0.2312761508845945,0.18536599108369245,0.015128327920815152,0.00641346814436876,0.2085002496663543,0.09534587943986651
0.06,0.74,0.07,0.03,0.05,0.0,0.05,0.0
0.05174074074074074,0.0,0.0027407407407407406,0.0,0.0,0.7739074074074075,0.01,0.16161111111111112
0.73,0.06,0.03,0.01,0.04,0.0,0.12,0.01
0.11,0.04,0.08,0.02,0.31,0.08,0.35,0.01
0.05,0.01,0.02,0.0,0.07,0.0,0.0,0.85
0.31,0.12,0.23,0.05,0.05,0.0,0.24,0.0
0.16,0.03,0.33,0.07,0.01,0.1,0.04,0.26
0.1,0.23,0.38,0.1,0.03,0.02,0.13,0.01
0.07,0.02,0.61,0.08,0.09,0.1,0.03,0.0
0.28,0.02,0.58,0.04,0.02,0.02,0.01,0.03
0.04,0.12,0.59,0.01,0.08,0.05,0.06,0.05
0.24,0.03,0.35,0.07,0.0,0.14,0.09,0.08
0.04,0.02,0.14,0.75,0.01,0.01,0.03,0.0
0.165,0.03,0.155,0.07,0.08,0.42,0.08,0.0
0.20080796228458506,0.0,0.2891512778863036,0.13950724307226184,0.0,0.0,0.18880836767403283,0.18172514908281662
0.1877662309069286,0.06342617688246596,0.2210987131042588,0.10082552300571748,0.06137946338840232,0.009399728238520297,0.2370558516030299,0.1190483128706765
0.1775472822807663,0.0888661948332055,0.24817758792670566,0.08745001754446147,0.08633253230024077,0.037219339714039935,0.15022740886767616,0.12417963653290406
0.07,0.15,0.12,0.06,0.04,0.02,0.53,0.01
0.44,0.02,0.3,0.02,0.08,0.1,0.01,0.03
0.05,0.02,0.36,0.11,0.01,0.31,0.1,0.04
0.38,0.29,0.22,0.02,0.04,0.0,0.04,0.01
0.38,0.0,0.11,0.0,0.0,0.0,0.0,0.51
0.16,0.08,0.08,0.04,0.06,0.01,0.56,0.01
0.27,0.12,0.39,0.1,0.0,0.05,0.06,0.01
0.01,0.0,0.02,0.04,0.02,0.04,0.0,0.87
0.06,0.0,0.77,0.02,0.03,0.1,0.02,0.0
0.43,0.09,0.2,0.0,0.09,0.02,0.13,0.04
0.3,0.09,0.17,0.23,0.06,0.04,0.07,0.04
0.08,0.01,0.16,0.68,0.01,0.02,0.03,0.01
0.35166666666666674,0.03,0.21,0.03,0.02,0.08166666666666668,0.27666666666666667,0.0
0.01,0.1,0.07,0.69,0.02,0.04,0.05,0.02
0.09,0.0,0.18,0.0,0.03,0.01,0.01,0.68
0.13807470017363485,0.034075364527606025,0.23145502719483893,0.13325484316323924,0.048855259163595025,0.06646947412240838,0.1500702402406635,0.19774509141401378
0.1775472822807663,0.0888661948332055,0.24817758792670566,0.08745001754446147,0.08633253230024077,0.037219339714039935,0.15022740886767616,0.12417963653290406
0.3,0.05,0.06,0.02,0.21,0.01,0.34,0.01
0.20080796228458506,0.0,0.2891512778863036,0.13950724307226184,0.0,0.0,0.18880836767403283,0.18172514908281662
0.01,0.01,0.295,0.12,0.03,0.395,0.09,0.05
0.26,0.07,0.37,0.06,0.03,0.05,0.14,0.02
0.20080796228458506,0.0,0.2891512778863036,0.13950724307226184,0.0,0.0,0.18880836767403283,0.18172514908281662
0.87,0.0,0.02,0.01,0.04,0.05,0.01,0.0
0.1775472822807663,0.0888661948332055,0.24817758792670566,0.08745001754446147,0.08633253230024077,0.037219339714039935,0.15022740886767616,0.12417963653290406
0.0,0.8,0.01,0.01,0.15,0.0,0.01,0.02
0.09,0.09,0.67,0.0,0.03,0.06,0.04,0.02
0.11,0.07,0.06,0.58,0.03,0.01,0.14,0.0
0.14,0.01,0.05,0.01,0.68,0.03,0.05,0.03
0.31,0.06,0.53,0.02,0.06,0.02,0.0,0.0
0.04,0.03,0.04,0.0,0.17,0.01,0.01,0.7
0.08,0.1,0.17,0.08,0.06,0.04,0.46,0.01
0.1877662309069286,0.06342617688246596,0.2210987131042588,0.10082552300571748,0.06137946338840232,0.009399728238520297,0.2370558516030299,0.1190483128706765
0.05,0.03,0.61,0.01,0.0,0.25,0.05,0.0
0.22,0.15,0.31,0.01,0.04,0.03,0.23,0.01
0.1821885164146959,0.0,0.2674386009804874,0.16863247764931164,0.0,0.0,0.17868509017334122,0.20305531478216352
0.19,0.24,0.48,0.0,0.07,0.0,0.02,0.0
0.25546460043744934,0.0,0.2795115874369446,0.15679839139296223,0.0,0.0,0.16637168551183443,0.14185373522080943
0.11,0.14,0.18,0.15,0.01,0.03,0.37,0.01
0.05,0.0,0.07,0.0,0.04,0.05,0.0,0.79
0.41,0.13,0.29,0.01,0.01,0.03,0.03,0.09
0.14,0.09,0.42,0.02,0.1,0.05,0.17,0.01
